Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
229;"Муниципальное казенное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 60""";МКОУ;СОО;школа;;;Средняя общеобразовательная школа № 60;Архангельск;город;;163029, г. Архангельск, Маймаксанский территориальный округ, ул. Мудьюгская, д. 25
230;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 62""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 62 г. Архангельск;Архангельск;город;;163013, г. Архангельск, Соломбальский территориальный округ, ул. Кедрова, д. 34
231;"муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 68""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 68 г. Архангельск;Архангельск;город;;163022, г. Архангельск, Маймаксанский территориальный округ, ул. Менделеева, д. 19
234;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 73""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 73 г. Архангельск;Архангельск;город;;163044, г. Архангельск, Цигломенский территориальный округ, ул. Стивидорская, д. 11
235;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 77""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 77 г. Архангельск;Архангельск;город;;163035, г. Архангельск, ул. Дежневцев, д. 12
236;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 82""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 82 г. Архангельск;Архангельск;город;;163038, г. Архангельск, Исакогорский территориальный округ, ул. Речников, д. 46
240;"муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа №95""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №95 г. Архангельск;Архангельск;город;;163015, г. Архангельск, территориальный округ Майская горка, просп. Ленинградский, д. 169
241;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Общеобразовательный эколого-биологический лицей""";МБОУ;СОО;лицей;спец;эколого-биологический;Общеобразовательный эколого-биологический лицей г. Архангельск;Архангельск;город;;163009, г. Архангельск, округ Майская горка, просп. Ленинградский, д. 75
242;"государственное нетиповое образовательное учреждение Архангельской области ""Университетская Ломоносовская Гимназия""";Государственное нетиповое образовательное учреждение ;СОО;гимназия;спец;;Университетская Ломоносовская Гимназия;Архангельск;город;;63000, г. Архангельск, набережная Северной Двины, д. 25
246;"""Северная коммерческая школа""";Северная коммерческая школа;СОО;школа;негос;;Северная коммерческая школа;Архангельск;город;;163002, г. Архангельск, ул. Суворова, д. 2/ наб. Северной Двины, д. 123
