ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
98;4;136;56.0;0;0.0;142;0;0.0;4;56.0
221;14;137;56.0;1;7.0;226;3;62.0;11;54.0
314;19;138;56.0;2;11.0;240;8;47.0;11;62.0
76;17;139;56.0;0;0.0;196;3;59.0;14;55.0
137;4;140;56.0;0;0.0;12;1;52.0;3;57.0
53;40;141;56.0;1;3.0;207;14;51.0;26;58.0
205;19;142;56.0;0;0.0;189;11;57.0;8;53.0
269;16;143;56.0;0;0.0;42;4;65.0;12;52.0
92;2;144;56.0;0;0.0;82;0;0.0;2;56.0
298;6;145;55.0;0;0.0;55;3;53.0;3;57.0
164;3;146;55.0;0;0.0;146;0;0.0;3;55.0
122;9;147;55.0;1;11.0;245;3;41.0;6;62.0
308;36;148;55.0;0;0.0;84;10;54.0;26;56.0
266;10;149;55.0;0;0.0;40;2;69.0;8;52.0
29;12;150;55.0;0;0.0;26;5;53.0;7;57.0
41;33;151;55.0;0;0.0;179;13;52.0;20;58.0
25;5;152;55.0;0;0.0;18;5;55.0;0;0.0
191;18;153;55.0;2;11.0;242;8;52.0;10;58.0
234;6;154;55.0;0;0.0;168;2;44.0;4;61.0
140;50;155;55.0;3;6.0;222;10;53.0;40;56.0
178;2;156;55.0;0;0.0;92;0;0.0;2;55.0
187;8;157;55.0;0;0.0;132;2;53.0;6;56.0
154;1;158;55.0;0;0.0;161;0;0.0;1;55.0
286;15;159;55.0;0;0.0;32;6;52.0;9;56.0
15;3;160;55.0;0;0.0;152;1;50.0;2;57.0
278;36;161;55.0;2;6.0;221;12;56.0;24;54.0
316;22;162;55.0;4;18.0;260;11;50.0;11;59.0
151;2;163;55.0;0;0.0;159;0;0.0;2;55.0
120;16;164;54.0;0;0.0;35;1;52.0;15;55.0
240;13;165;54.0;0;0.0;96;1;45.0;12;55.0
231;12;166;54.0;1;8.0;233;4;51.0;8;56.0
213;11;167;54.0;0;0.0;4;2;53.0;9;55.0
65;4;168;54.0;0;0.0;118;2;55.0;2;54.0
107;29;169;54.0;1;3.0;210;8;57.0;21;53.0
209;20;170;54.0;2;10.0;239;8;59.0;12;51.0
176;1;171;54.0;0;0.0;115;0;0.0;1;54.0
182;5;172;54.0;0;0.0;129;1;46.0;4;56.0
228;21;173;54.0;1;5.0;218;5;54.0;16;54.0
320;5;174;54.0;0;0.0;181;2;63.0;3;48.0
177;16;175;54.0;1;6.0;223;3;50.0;13;55.0
215;43;176;54.0;2;5.0;216;12;52.0;31;55.0
38;7;177;54.0;0;0.0;105;2;50.0;5;56.0
2;9;178;54.0;0;0.0;131;5;55.0;4;52.0
261;16;179;54.0;0;0.0;37;5;48.0;11;56.0
212;15;180;54.0;0;0.0;3;6;51.0;9;55.0
