ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
151;6;260;52.0;0;0.0;180;1;47.0;5;53.0
77;3;261;51.0;1;33.0;282;1;28.0;2;63.0
377;32;262;51.0;2;6.0;256;13;51.0;19;50.0
416;100;263;51.0;5;5.0;251;62;51.0;38;50.0
31;4;264;51.0;1;25.0;279;2;38.0;2;64.0
388;107;265;50.0;10;9.0;263;62;48.0;45;52.0
25;11;266;49.0;1;9.0;261;8;50.0;3;46.0
317;23;267;49.0;0;0.0;155;7;50.0;16;48.0
18;11;268;49.0;1;9.0;262;6;44.0;5;55.0
369;5;269;49.0;0;0.0;92;1;50.0;4;48.0
370;4;270;48.0;0;0.0;154;4;48.0;0;0.0
280;5;271;48.0;1;20.0;277;1;30.0;4;52.0
386;20;272;47.0;3;15.0;274;7;51.0;13;45.0
229;6;273;47.0;0;0.0;160;3;48.0;3;46.0
380;8;274;46.0;0;0.0;113;3;51.0;5;44.0
248;168;275;46.0;25;15.0;273;98;45.0;70;47.0
378;7;276;45.0;0;0.0;85;1;45.0;6;45.0
257;14;277;44.0;2;14.0;269;5;40.0;9;46.0
32;1;278;43.0;0;0.0;117;1;43.0;0;0.0
99;43;279;43.0;7;16.0;275;22;36.0;21;50.0
409;15;280;41.0;4;27.0;281;2;35.0;13;42.0
121;32;281;40.0;7;22.0;278;22;36.0;10;49.0
358;4;282;38.0;1;25.0;280;0;0.0;4;38.0
57;19;283;37.0;8;42.0;283;10;32.0;9;43.0
